 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1516,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09780-03214,11.078,1.864,0.247,1.500,2.400,12.527
1517,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09782-03306,42.262,2.987,0.639,1.867,4.727,24.368
1518,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09806-05975,16.413,2.500,0.500,1.429,3.769,14.339
1519,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09822-10187,24.208,2.101,0.296,1.391,2.812,18.933
1520,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09826-04999,50.058,2.010,0.475,0.905,3.067,26.024
1521,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09851-04075,52.930,2.224,0.498,1.120,3.318,26.930
1522,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09869-07655,45.134,2.100,0.448,1.080,3.195,23.993
1523,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09874-04047,2.462,2.472,0.493,2.000,3.429,5.811
1524,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09877-05341,35.697,2.438,0.410,1.345,3.208,22.181
1525,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09900-03436,1.231,1.847,0.168,1.667,2.000,4.529
1526,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09906-04604,0.410,3.000,0.000,3.000,3.000,2.562
1527,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09903-06067,62.778,2.221,0.632,1.000,3.547,29.117
1528,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09908-04603,5.334,2.868,0.353,2.364,3.889,8.528
1529,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09924-04454,8.206,2.842,0.293,2.200,3.444,10.185
1530,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09928-04969,14.771,2.703,0.549,1.600,4.000,14.183
1531,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09925-07225,33.235,1.723,0.399,1.148,2.750,24.148
1532,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09932-07227,2.052,3.141,0.743,2.500,4.200,4.905
1533,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09934-07819,16.413,3.455,0.841,1.846,5.333,19.463
1534,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09950-06592,0.410,1.647,0.000,1.647,1.647,2.562
1535,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09951-03712,0.821,2.450,0.071,2.400,2.500,3.843
1536,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09952-03708,16.002,1.743,0.312,1.217,2.500,14.559
1537,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09953-06585,6.975,1.284,0.210,0.971,1.684,10.871
1538,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09955-06589,1.641,1.170,0.199,0.960,1.348,5.124
1539,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09957-06585,0.410,1.160,0.000,1.160,1.160,2.562
1540,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09948-07823,154.278,1.826,0.485,0.948,3.625,60.421
