 ,Label,Area,Mean,StdDev,Min,Max,Perim.
371,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08547-04490,35.287,2.067,0.320,1.379,2.852,21.650
372,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08558-07609,59.085,2.133,0.703,0.938,4.097,32.210
373,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08589-09065,27.081,2.116,0.455,1.067,3.750,19.463
374,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08594-04505,50.468,2.601,0.527,1.433,4.045,26.024
375,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08616-08336,17.233,3.050,0.662,1.933,4.583,15.620
376,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08621-06718,40.211,1.905,0.731,0.744,3.444,25.274
377,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08628-10429,6.975,2.469,0.363,2.062,3.556,10.185
378,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08651-06681,3.283,1.670,0.171,1.438,1.923,7.622
379,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08656-06117,47.186,1.859,0.463,1.000,2.852,25.118
380,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08660-07736,29.953,2.670,0.695,1.120,3.758,20.369
381,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08660-07857,24.208,2.668,0.483,1.667,3.923,18.713
382,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08695-03632,1.641,3.999,1.022,2.818,5.286,4.905
383,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08692-06322,30.363,2.386,0.422,1.556,3.625,20.744
384,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08703-03633,34.056,1.816,0.628,0.792,3.700,22.776
385,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08718-04808,16.002,2.051,0.415,1.250,2.955,14.559
386,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08734-03559,60.726,1.831,0.624,0.845,4.000,29.803
387,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08747-06020,20.926,1.781,0.424,0.872,2.545,18.182
