 ,Label,Area,Mean,StdDev,Min,Max,Perim.
7390,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10936-07304,4.513,1.250,0.200,0.767,1.500,10.715
7391,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10937-07313,0.410,1.765,0.000,1.765,1.765,2.562
7392,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11069-05822,50.879,1.276,0.179,0.923,1.941,26.555
7393,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11101-04645,32.825,1.759,0.365,1.135,2.633,21.650
7394,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11191-05453,0.410,1.429,0.000,1.429,1.429,2.562
7395,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11195-05453,6.565,1.551,0.247,1.200,1.941,9.434
7396,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11356-05006,34.056,1.810,0.449,1.056,2.857,21.650
7397,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11436-06258,88.628,1.524,0.281,0.882,2.235,34.397
7398,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11579-06181,14.361,1.428,0.206,0.938,1.867,14.183
7399,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11685-06801,0.410,2.091,0.000,2.091,2.091,2.562
7400,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11686-06802,0.410,3.000,0.000,3.000,3.000,2.562
7401,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11688-06802,0.410,2.667,0.000,2.667,2.667,2.562
7402,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11688-06798,20.516,2.208,0.249,1.750,2.875,17.432
7403,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11747-06702,22.157,2.369,0.302,1.643,3.091,17.651
7404,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11774-05521,123.914,1.123,0.210,0.763,2.286,41.864
7405,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11809-05256,37.338,2.711,0.849,1.267,4.824,22.556
7406,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:11812-05274,65.240,1.183,0.172,0.852,1.600,29.868
7407,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:06489-06491,60824360.280,1.055,0.128,0.000,12.000,33258.984
7408,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00021-04907,0.410,0.880,0.000,0.880,0.880,1.812
7409,slice0011_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00022-04910,24.208,1.051,0.173,0.794,1.600,22.931
